log_id,work_package,artifact_id,gate,gate_name,result,reviewer,review_date,notes
QA-0001,WP1.1,WP1.1-PIP,1,Scope completeness,in-review,pending,2026-07-05,"Project Initiation Package submitted; ~250 research questions; no data collection until Gate 1 approval."
QA-0002,WP1.1,WP1.1-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-006 Phase 1 scope (5 collection priorities) covered; economic/demographic/sector correctly excluded."
QA-0003,WP1.1,WP1.1-P1,2,Source validation,in-progress,self,2026-07-05,"20 sources registered; primary/government preferred; integrity/checksum pending (files not yet downloaded) - GAP-019."
QA-0004,WP1.1,WP1.1-P1,3,Evidence quality review,in-progress,self,2026-07-05,"Confidence scored per claim; provisional items (chiefdoms, cyber Acts 2025) flagged <70."
QA-0005,WP1.1,WP1.1-P1,4,Cross-reference verification,in-progress,self,2026-07-05,"Source Cross-Reference Matrix completed; 1 contradiction logged (ward count 1858 vs 1853)."
QA-0006,WP1.1,WP1.1-P2,2,Source validation,in-progress,self,2026-07-05,"ACT-007: 22 new sources (SRC-0023..0044); government/primary preferred; integrity/checksum pending."
QA-0007,WP1.1,WP1.1-P2,3,Evidence quality review,in-progress,self,2026-07-05,"Confidence scored; provisional (<75) items flagged (sector shares, internet penetration, insurance, agri/commodities)."
QA-0008,WP1.1,WP1.1-P2,4,Cross-reference verification,in-progress,self,2026-07-05,"Contradictions logged: population de facto/de jure (E-0058); internet penetration ZICTA vs DataReportal (E-0049); electricity access 2023 vs 2020."
QA-0009,WP2.1,WP2.1-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-008: 41 workflows + 20 stakeholders cover the requested operational scope; crops/software/features/competitors/AI correctly excluded."
QA-0010,WP2.1,WP2.1-P1,2,Source validation,in-progress,self,2026-07-05,"13 sources (SRC-0045..0057); government/authoritative preferred (MoA, SZI, World Bank, PARM, J-PAL)."
QA-0011,WP2.1,WP2.1-P1,3,Evidence quality review,in-progress,self,2026-07-05,"Zambia-specific mechanisms cited; generic operational structure flagged as consultant synthesis; field-interview gaps recorded."
QA-0012,WP2.1,WP2.1-P2,1,Scope completeness,pass,self,2026-07-05,"ACT-009: master data/transactions/documents/measurements/events/relationships + lifecycle/ownership/exchange cover the information ecosystem; schemas/APIs/UML/crops/software excluded."
QA-0013,WP2.1,WP2.1-P2,2,Source validation,in-progress,self,2026-07-05,"6 sources (SRC-0058..0063); ZIAMIS/warehouse-receipt content from authoritative/legal sources."
QA-0014,WP2.1,WP2.1-P2,4,Cross-reference verification,in-progress,self,2026-07-05,"Every relationship (REL-01..30) cited or tied to an evidenced workflow; graph edges E-0072..E-0090 added."
QA-0015,WP2.2,WP2.2-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-010 breadth-first: mining handbook covers all 9 outputs; deep-dive/software/AI excluded."
QA-0016,WP2.3,WP2.3-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-010 breadth-first: construction handbook covers all 9 outputs."
QA-0017,WP2.4,WP2.4-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-010 breadth-first: environmental handbook covers all 9 outputs."
QA-0018,WP2.2-2.4,XIND,2,Source validation,in-progress,self,2026-07-05,"7 sources (SRC-0064..0070); regulators/laws from authoritative/legal sources; recent-law implementation flagged."
QA-0019,WP4.1,WP4.1-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-011: 153 products across all 28 categories & 8 regions; 50+ African, 25+ Zambia-relevant."
QA-0020,WP4.1,WP4.1-P1,2,Source validation,partial,self,2026-07-05,"~26 products/segments web-verified (V); remainder catalog-known (K) requiring independent verification; 16 sources registered; 500+ per-product citation target NOT met - flagged as follow-on."
QA-0021,WP4.1,WP4.1-P1,3,Evidence quality review,in-progress,self,2026-07-05,"Verification status per catalogue row; review-platform evidence treated as Tier 3-4 signal; honest gap noted in exec summary."
QA-0022,WP2.5,WP2.5-P1,1,Scope completeness,pass,self,2026-07-05,"ACT-011.1: 15 outputs; 26 logistics workflows linked to industry workflows; national network/fleet/warehouse/supply-chain/cross-border covered."
QA-0023,WP2.5,WP2.5-P1,2,Source validation,partial,self,2026-07-05,"7 net-new sources (SRC-0087..0093, govt/regulator preferred: ZRA/ZDA/JICA/WB/LogCluster) + reuse of WP1.1/WP2.x; 100-net-new target NOT met (GAP-210) - flagged."
QA-0024,WP2.5,WP2.5-P1,4,Cross-reference verification,in-progress,self,2026-07-05,"Every logistics workflow linked upstream/downstream to WF-*/WF-M*/WF-C*/WF-E*; graph edges E-0116..E-0131 added."
QA-0025,WP1.2,WP1.2,1,Scope completeness,pass,self,2026-07-05,"ACT-012: 18 outputs; ~37 instruments across all sectors + cross-cutting; every documented workflow mapped to >=1 regulation."
QA-0026,WP1.2,WP1.2,2,Source validation,partial,self,2026-07-05,"14 net-new primary legal sources (SRC-0094..0107, Parliament/ZambiaLII/FAOLEX/regulators) + reuse; 200-net-new target NOT met (GAP-R10)."
QA-0027,WP1.2,WP1.2,4,Cross-reference verification,in-progress,self,2026-07-05,"Regulation->workflow/authority edges E-0132..E-0143; SIs/penalties/fees pending primary Gazette (GAP-R01/R02)."
